dimension,group,sample_count,bet_count,hit_count,hit_rate,total_stake,total_profit,roi,max_drawdown,avg_odds,avg_ev,avg_model_prob
play_type,spf,28437,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selection,A,9479,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selection,D,9479,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selection,H,9479,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_range,1.10-1.30,450,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_range,1.30-1.50,851,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_range,1.50-1.80,2027,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_range,1.80-2.20,3005,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_range,2.20-3.00,5233,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_range,3.00+,16871,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probability_range,40%-45%,1813,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probability_range,45%-50%,1651,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probability_range,50%-55%,1278,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probability_range,55%-60%,927,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probability_range,60%-65%,624,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probability_range,65%+,1032,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probability_range,<40%,21112,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ev_range,0%-3%,254,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ev_range,3%-5%,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ev_range,<0,28180,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_quality_range,85+,28437,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk_tags,伤停不明,150,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk_tags,无明显风险,12966,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk_tags,机构分歧,8409,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk_tags,热门过热,3153,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk_tags,赔率异常,9479,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk_tags,首发未确认,150,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
