paper_id,strategy_id,status,play_type,selection,model_prob,odds,ev,advantage_rate,data_quality_score,risk_tags,paper_stake,is_hit,paper_profit
1,candidate_strategy_v1,observation_only,spf,D,0.30370625617774105,3.3,0.0022306453865454934,0.0022306453865454934,85.0,赔率异常,1.0,1,2.3
2,candidate_strategy_v1,observation_only,spf,D,0.2952274285237394,3.4,0.003773256980713846,0.003773256980713846,85.0,赔率异常,1.0,0,-1.0
3,candidate_strategy_v1,observation_only,spf,D,0.3256696655261596,3.1,0.009575963131094767,0.009575963131094767,85.0,赔率异常,1.0,0,-1.0
4,candidate_strategy_v1,observation_only,spf,D,0.2953648356593991,3.4,0.004240441241956772,0.004240441241956772,85.0,赔率异常,1.0,1,2.4
5,candidate_strategy_v1,observation_only,spf,D,0.27924812175412145,3.6,0.00529323831483719,0.00529323831483719,85.0,赔率异常,1.0,0,-1.0
6,candidate_strategy_v1,observation_only,spf,D,0.28935259715061207,3.5,0.012734090027142209,0.012734090027142209,85.0,赔率异常,1.0,0,-1.0
7,candidate_strategy_v1,observation_only,spf,D,0.2944697824054663,3.4,0.0011972601785852355,0.0011972601785852355,85.0,赔率异常,1.0,0,-1.0
8,candidate_strategy_v1,observation_only,spf,D,0.31274806543227185,3.2,0.0007938093832700055,0.0007938093832700055,85.0,赔率异常,1.0,0,-1.0
9,candidate_strategy_v1,observation_only,spf,D,0.2896359757267699,3.5,0.013725915043694581,0.013725915043694581,85.0,赔率异常,1.0,0,-1.0
10,candidate_strategy_v1,observation_only,spf,D,0.31315905811623485,3.2,0.002108985971951638,0.002108985971951638,85.0,赔率异常,1.0,0,-1.0
11,candidate_strategy_v1,observation_only,spf,D,0.30399082254881765,3.3,0.0031697144110982567,0.0031697144110982567,85.0,赔率异常,1.0,1,2.3
12,candidate_strategy_v1,observation_only,spf,D,0.28574104449845705,3.5,9.365574459963e-05,9.365574459963e-05,85.0,赔率异常,1.0,0,-1.0
13,candidate_strategy_v1,observation_only,spf,D,0.2705670864708665,3.7,0.0010982199422062688,0.0010982199422062688,85.0,赔率异常,1.0,1,2.7
14,candidate_strategy_v1,observation_only,spf,D,0.2957175981278384,3.4,0.005439833634650393,0.005439833634650393,85.0,赔率异常,1.0,0,-1.0
15,candidate_strategy_v1,observation_only,spf,D,0.29050132023085773,3.5,0.016754620808002052,0.016754620808002052,85.0,赔率异常,1.0,0,-1.0
16,candidate_strategy_v1,observation_only,spf,D,0.29416574892853453,3.4,0.000163546357017319,0.000163546357017319,85.0,赔率异常,1.0,0,-1.0
17,candidate_strategy_v1,observation_only,spf,D,0.31399498102586465,3.2,0.00478393928276688,0.00478393928276688,85.0,赔率异常,1.0,1,2.2
18,candidate_strategy_v1,observation_only,spf,D,0.32806473996010616,3.1,0.017000693876329187,0.017000693876329187,85.0,赔率异常,1.0,0,-1.0
19,candidate_strategy_v1,observation_only,spf,D,0.2879294219884379,3.5,0.007752976959532587,0.007752976959532587,85.0,赔率异常,1.0,1,2.5
20,candidate_strategy_v1,observation_only,spf,D,0.30866782955204924,3.25,0.003170446044159947,0.003170446044159947,85.0,赔率异常,1.0,0,-1.0
21,candidate_strategy_v1,observation_only,spf,D,0.3046658621697618,3.3,0.005397345160214062,0.005397345160214062,85.0,赔率异常,1.0,1,2.3
22,candidate_strategy_v1,observation_only,spf,D,0.28112818674220247,3.6,0.012061472271928997,0.012061472271928997,85.0,赔率异常,1.0,0,-1.0
23,candidate_strategy_v1,observation_only,spf,D,0.2801934661178732,3.6,0.008696478024343701,0.008696478024343701,85.0,机构分歧|赔率异常,1.0,1,2.6
24,candidate_strategy_v1,observation_only,spf,D,0.3259177532633294,3.1,0.010345035116321233,0.010345035116321233,85.0,赔率异常,1.0,0,-1.0
25,candidate_strategy_v1,observation_only,spf,D,0.30341738693770304,3.3,0.0012773768944198682,0.0012773768944198682,85.0,赔率异常,1.0,0,-1.0
26,candidate_strategy_v1,observation_only,spf,D,0.3134957493663618,3.2,0.0031863979723578684,0.0031863979723578684,85.0,赔率异常,1.0,1,2.2
27,candidate_strategy_v1,observation_only,spf,D,0.29564692137416926,3.4,0.005199532672175433,0.005199532672175433,85.0,赔率异常,1.0,1,2.4
28,candidate_strategy_v1,observation_only,spf,D,0.3039798412845176,3.3,0.0031334762389081394,0.0031334762389081394,85.0,机构分歧|赔率异常,1.0,0,-1.0
29,candidate_strategy_v1,observation_only,spf,D,0.305934970739269,3.3,0.009585403439587692,0.009585403439587692,85.0,机构分歧|赔率异常,1.0,1,2.3
30,candidate_strategy_v1,observation_only,spf,D,0.2890138769386915,3.5,0.011548569285420252,0.011548569285420252,85.0,赔率异常,1.0,1,2.5
31,candidate_strategy_v1,observation_only,spf,D,0.33541685570011276,3.0,0.006250567100338333,0.006250567100338333,85.0,赔率异常,1.0,0,-1.0
32,candidate_strategy_v1,observation_only,spf,D,0.3099777222521093,3.25,0.007427597319355161,0.007427597319355161,85.0,赔率异常,1.0,0,-1.0
33,candidate_strategy_v1,observation_only,spf,D,0.29499897126106556,3.4,0.0029965022876228264,0.0029965022876228264,85.0,机构分歧|赔率异常,1.0,1,2.4
34,candidate_strategy_v1,observation_only,spf,D,0.28587944154864997,3.5,0.000578045420274842,0.000578045420274842,85.0,赔率异常,1.0,0,-1.0
35,candidate_strategy_v1,observation_only,spf,D,0.31260038002923946,3.2,0.0003212160935663899,0.0003212160935663899,85.0,赔率异常,1.0,0,-1.0
36,candidate_strategy_v1,observation_only,spf,D,0.2868850261083179,3.5,0.004097591379112586,0.004097591379112586,85.0,赔率异常,1.0,0,-1.0
37,candidate_strategy_v1,observation_only,spf,D,0.3355774876914024,3.0,0.006732463074207162,0.006732463074207162,85.0,赔率异常,1.0,0,-1.0
38,candidate_strategy_v1,observation_only,spf,D,0.2786640750980738,3.6,0.00319067035306575,0.00319067035306575,85.0,赔率异常,1.0,0,-1.0
39,candidate_strategy_v1,observation_only,spf,D,0.3366697792016373,3.0,0.010009337604911961,0.010009337604911961,85.0,赔率异常,1.0,0,-1.0
40,candidate_strategy_v1,observation_only,spf,D,0.2794868610323027,3.6,0.0061526997162897334,0.0061526997162897334,85.0,赔率异常,1.0,0,-1.0
41,candidate_strategy_v1,observation_only,spf,D,0.2824188617680779,3.6,0.016707902365080463,0.016707902365080463,85.0,赔率异常,1.0,0,-1.0
42,candidate_strategy_v1,observation_only,spf,D,0.31379895634253924,3.2,0.004156660296125603,0.004156660296125603,85.0,赔率异常,1.0,0,-1.0
43,candidate_strategy_v1,observation_only,spf,D,0.28572762045001165,3.5,4.667157504067987e-05,4.667157504067987e-05,85.0,赔率异常,1.0,1,2.5
44,candidate_strategy_v1,observation_only,spf,D,0.33850694260051584,3.0,0.01552082780154751,0.01552082780154751,85.0,赔率异常,1.0,1,2.0
45,candidate_strategy_v1,observation_only,spf,D,0.31418636140487594,3.2,0.005396356495602994,0.005396356495602994,85.0,赔率异常,1.0,1,2.2
46,candidate_strategy_v1,observation_only,spf,D,0.2785981002282917,3.6,0.0029531608218500427,0.0029531608218500427,85.0,赔率异常,1.0,0,-1.0
47,candidate_strategy_v1,observation_only,spf,D,0.31314484393742176,3.2,0.0020635005997495792,0.0020635005997495792,85.0,赔率异常,1.0,0,-1.0
48,candidate_strategy_v1,observation_only,spf,D,0.2788139653609196,3.6,0.0037302752993106925,0.0037302752993106925,85.0,机构分歧|赔率异常,1.0,0,-1.0
49,candidate_strategy_v1,observation_only,spf,D,0.2873494968960777,3.5,0.005723239136271818,0.005723239136271818,85.0,赔率异常,1.0,1,2.5
50,candidate_strategy_v1,observation_only,spf,D,0.2769593937349214,3.7,0.024749756819209212,0.024749756819209212,85.0,赔率异常,1.0,0,-1.0
51,candidate_strategy_v1,observation_only,spf,D,0.2794876462355332,3.6,0.0061555264479193905,0.0061555264479193905,85.0,赔率异常,1.0,0,-1.0
52,candidate_strategy_v1,observation_only,spf,D,0.308698628946714,3.25,0.003270544076820592,0.003270544076820592,85.0,赔率异常,1.0,1,2.25
53,candidate_strategy_v1,observation_only,spf,D,0.28695506404193466,3.5,0.004342724146771282,0.004342724146771282,85.0,赔率异常,1.0,0,-1.0
54,candidate_strategy_v1,observation_only,spf,D,0.30016551560900573,3.4,0.02056275307061939,0.02056275307061939,85.0,赔率异常,1.0,1,2.4
